COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1714302; 219 ; 921 ; 196 ; -   ; 17 ; 33 ; 145 ; 5 ; 8 ; 3 ; -   ; 1 ; 2 ; 8 ; 15 ; 70 ; 21 ; -   ; 4 ; 7 ; 64 
1714880; 550 ; 2.036 ; 424 ; 169 ; -   ; 254 ; 118 ; 8 ; 9 ; 1 ; 1 ; -   ; 2 ; 11 ; 45 ; 91 ; 31 ; 11 ; -   ; 32 ; 84 
1715002; 157 ; 550 ; 126 ; -   ; -   ; 23 ; 7 ; 1 ; 4 ; 1 ; -   ; -   ; 1 ; 3 ; 11 ; 36 ; 12 ; -   ; -   ; 10 ; 17 
1715101; 168 ; 884 ; 191 ; -   ; -   ; -   ; 61 ; 2 ; 5 ; 1 ; -   ; -   ; -   ; 3 ; 17 ; 41 ; 15 ; -   ; -   ; -   ; 28 
1715150; 80 ; 345 ; 80 ; -   ; -   ; -   ; 50 ; 1 ; 3 ; 1 ; -   ; -   ; -   ; 2 ; 7 ; 20 ; 9 ; -   ; -   ; -   ; 18 
1715259; 92 ; 553 ; 101 ; 22 ; -   ; -   ; 7 ; 2 ; 3 ; 1 ; 1 ; -   ; -   ; 3 ; 4 ; 27 ; 12 ; 9 ; -   ; -   ; 15 
1715507; 47 ; 334 ; 56 ; -   ; -   ; 86 ; 2 ; 1 ; 1 ; 1 ; -   ; -   ; 2 ; 2 ; 4 ; 24 ; 6 ; -   ; -   ; 10 ; 12 
1721000; 13.675 ; 39.716 ; 13.567 ; 6.689 ; 405 ; 4.285 ; 1.305 ; 80 ; 105 ; 39 ; 13 ; 7 ; 23 ; 117 ; 974 ; 1.755 ; 840 ; 387 ; 62 ; 339 ; 2.083 
1715705; 112 ; 962 ; 220 ; -   ; -   ; 71 ; 21 ; 4 ; 5 ; 1 ; -   ; -   ; 2 ; 5 ; 7 ; 52 ; 17 ; -   ; -   ; 15 ; 19 
1713809; 133 ; 1.027 ; 229 ; -   ; -   ; 53 ; 28 ; 3 ; 5 ; 1 ; -   ; -   ; 1 ; 4 ; 10 ; 48 ; 12 ; -   ; -   ; 14 ; 36 
1715754; 323 ; 1.208 ; 332 ; -   ; 34 ; 75 ; 51 ; 1 ; 4 ; 2 ; -   ; 1 ; 1 ; 6 ; 21 ; 42 ; 16 ; -   ; 1 ; 5 ; 43 
1716109; 1.711 ; 7.815 ; 2.178 ; 411 ; -   ; 558 ; 273 ; 21 ; 26 ; 9 ; 3 ; -   ; 8 ; 25 ; 99 ; 330 ; 167 ; 57 ; -   ; 70 ; 247 
1716208; 311 ; 2.050 ; 445 ; 40 ; -   ; -   ; 46 ; 17 ; 25 ; 3 ; 1 ; -   ; -   ; 8 ; 19 ; 135 ; 32 ; 12 ; -   ; -   ; 61 
1716307; 146 ; 735 ; 242 ; -   ; -   ; 18 ; 46 ; 3 ; 4 ; 1 ; -   ; -   ; 1 ; 4 ; 9 ; 41 ; 15 ; -   ; -   ; 8 ; 36 
1716505; 612 ; 2.299 ; 627 ; 254 ; -   ; 222 ; 140 ; 5 ; 9 ; 3 ; 3 ; -   ; 1 ; 10 ; 30 ; 123 ; 30 ; 34 ; -   ; 14 ; 108 
1716604; 352 ; 1.559 ; 322 ; -   ; -   ; 168 ; 59 ; 6 ; 8 ; 1 ; -   ; -   ; 2 ; 8 ; 24 ; 72 ; 19 ; -   ; -   ; 16 ; 53 
1716653; 209 ; 925 ; 205 ; 21 ; -   ; 79 ; 104 ; 3 ; 4 ; 1 ; 1 ; -   ; 3 ; 6 ; 13 ; 59 ; 12 ; 9 ; -   ; 19 ; 61 
1717008; 133 ; 907 ; 173 ; -   ; -   ; 31 ; 24 ; 3 ; 5 ; 1 ; -   ; -   ; 1 ; 4 ; 10 ; 53 ; 20 ; -   ; -   ; 9 ; 43 
1717206; 117 ; 466 ; 107 ; -   ; -   ; 34 ; 8 ; 4 ; 5 ; 1 ; -   ; -   ; 1 ; 3 ; 7 ; 29 ; 11 ; -   ; -   ; 11 ; 16 
1717503; 222 ; 988 ; 214 ; 25 ; -   ; 64 ; 49 ; 6 ; 8 ; 1 ; 1 ; -   ; 4 ; 7 ; 22 ; 66 ; 19 ; 8 ; -   ; 18 ; 34 
1717800; 106 ; 807 ; 173 ; 27 ; -   ; -   ; 14 ; 5 ; 8 ; 2 ; 1 ; -   ; -   ; 4 ; 7 ; 58 ; 23 ; 12 ; -   ; -   ; 28 
1717909; 251 ; 1.349 ; 340 ; 251 ; -   ; 66 ; 73 ; 2 ; 9 ; 1 ; 2 ; -   ; 2 ; 6 ; 20 ; 73 ; 17 ; 26 ; -   ; 16 ; 35 
1718006; 119 ; 571 ; 132 ; -   ; -   ; -   ; 22 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; 2 ; 8 ; 29 ; 10 ; -   ; -   ; -   ; 20 
1718204; 2.673 ; 10.170 ; 2.716 ; 739 ; -   ; 745 ; 522 ; 30 ; 43 ; 13 ; 4 ; -   ; 10 ; 36 ; 218 ; 478 ; 210 ; 99 ; -   ; 72 ; 394 
1718303; 442 ; 1.636 ; 314 ; -   ; -   ; 32 ; 35 ; 12 ; 13 ; 1 ; -   ; -   ; 2 ; 7 ; 33 ; 92 ; 13 ; -   ; -   ; 4 ; 33 
1718402; 63 ; 506 ; 153 ; -   ; -   ; 40 ; 20 ; 1 ; 3 ; 1 ; -   ; -   ; 1 ; 3 ; 3 ; 26 ; 10 ; -   ; -   ; 7 ; 24 
1718451; 120 ; 416 ; 98 ; -   ; -   ; 39 ; 5 ; 1 ; 3 ; 1 ; -   ; -   ; 1 ; 3 ; 11 ; 31 ; 9 ; -   ; -   ; 7 ; 13 
1718501; 149 ; 862 ; 170 ; -   ; -   ; 18 ; 13 ; 3 ; 4 ; 1 ; -   ; -   ; 1 ; 3 ; 9 ; 52 ; 10 ; -   ; -   ; 8 ; 18 
1718550; 111 ; 932 ; 224 ; -   ; 15 ; 15 ; 47 ; 2 ; 2 ; 1 ; -   ; 1 ; 1 ; 3 ; 6 ; 38 ; 8 ; -   ; 3 ; 3 ; 38 
1718659; 118 ; 362 ; 91 ; -   ; -   ; -   ; 8 ; 2 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 9 ; 20 ; 10 ; -   ; -   ; -   ; 14 
1718709; 90 ; 484 ; 89 ; -   ; -   ; -   ; 18 ; 5 ; 6 ; 1 ; -   ; -   ; -   ; 3 ; 4 ; 31 ; 9 ; -   ; -   ; -   ; 16 
1718758; 162 ; 958 ; 248 ; -   ; -   ; 15 ; 82 ; 6 ; 9 ; 2 ; -   ; -   ; 2 ; 8 ; 14 ; 58 ; 20 ; -   ; -   ; 2 ; 40 
1718808; 131 ; 903 ; 231 ; -   ; -   ; -   ; 21 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; 3 ; 6 ; 42 ; 17 ; -   ; -   ; -   ; 29 
1718840; 86 ; 736 ; 150 ; -   ; -   ; -   ; 22 ; 2 ; 6 ; 3 ; -   ; -   ; -   ; 3 ; 8 ; 45 ; 22 ; -   ; -   ; -   ; 17 
1718865; 240 ; 1.259 ; 323 ; -   ; -   ; 98 ; 35 ; 6 ; 10 ; 3 ; -   ; -   ; 2 ; 6 ; 12 ; 80 ; 26 ; -   ; -   ; 16 ; 50 
1718881; 133 ; 522 ; 97 ; 22 ; -   ; -   ; 11 ; 1 ; 2 ; 1 ; 1 ; -   ; -   ; 2 ; 9 ; 30 ; 11 ; 6 ; -   ; -   ; 21 
1718899; 108 ; 446 ; 91 ; -   ; -   ; 19 ; 8 ; 3 ; 4 ; 1 ; -   ; -   ; 1 ; 3 ; 10 ; 29 ; 9 ; -   ; -   ; 7 ; 13 
1718907; 214 ; 919 ; 201 ; -   ; -   ; 20 ; 45 ; 5 ; 7 ; 1 ; -   ; -   ; 1 ; 4 ; 11 ; 47 ; 14 ; -   ; -   ; 4 ; 32 
