COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
5210208; 1.210 ; 3.704 ; 1.304 ; 735 ; 38 ; 199 ; 248 ; 14 ; 19 ; 8 ; 3 ; 1 ; 4 ; 20 ; 100 ; 263 ; 149 ; 64 ; 16 ; 42 ; 275 
5210307; 50 ; 232 ; 71 ; -   ; -   ; 33 ; 18 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 2 ; 4 ; 19 ; 12 ; -   ; -   ; 10 ; 17 
5210406; 1.788 ; 5.327 ; 1.617 ; 71 ; -   ; 320 ; 219 ; 14 ; 17 ; 6 ; 1 ; -   ; 3 ; 20 ; 76 ; 236 ; 89 ; 5 ; -   ; 27 ; 222 
5210562; 203 ; 576 ; 182 ; -   ; -   ; -   ; 13 ; 2 ; 2 ; 1 ; -   ; -   ; -   ; 3 ; 11 ; 37 ; 8 ; -   ; -   ; -   ; 32 
5210604; 127 ; 544 ; 174 ; -   ; -   ; 35 ; 31 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 4 ; 7 ; 44 ; 9 ; -   ; -   ; 8 ; 40 
5210802; 189 ; 555 ; 143 ; -   ; -   ; 20 ; 14 ; 3 ; 4 ; 1 ; -   ; -   ; 2 ; 3 ; 12 ; 39 ; 20 ; -   ; -   ; 11 ; 22 
5210901; 748 ; 2.676 ; 811 ; 43 ; -   ; 275 ; 103 ; 5 ; 8 ; 3 ; 2 ; -   ; 3 ; 9 ; 37 ; 157 ; 53 ; 10 ; -   ; 27 ; 122 
5211008; 238 ; 930 ; 290 ; -   ; -   ; 15 ; 64 ; 5 ; 9 ; 2 ; -   ; -   ; 1 ; 6 ; 17 ; 56 ; 17 ; -   ; -   ; 2 ; 39 
5211206; 716 ; 3.118 ; 893 ; 100 ; -   ; 168 ; 150 ; 8 ; 13 ; 5 ; 1 ; -   ; 2 ; 12 ; 39 ; 174 ; 68 ; 3 ; -   ; 19 ; 145 
5211305; 234 ; 758 ; 197 ; -   ; -   ; 15 ; 26 ; 2 ; 4 ; 1 ; -   ; -   ; 1 ; 4 ; 19 ; 40 ; 15 ; -   ; -   ; 7 ; 28 
