CD_GEOCODMU;LONG;LAT
1507151;-48,72037341;-5,549841
1507201;-47,77478457;-1,6758145
1507300;-51,99378252;-6,642483278
1507409;-47,79051461;-1,170188785
1507458;-48,55571249;-6,39895797
1507466;-47,92072417;-0,851002145
1507474;-47,1726743;-0,766442532
1507508;-48,7886334;-5,359002724
1507607;-47,48240894;-1,617135914
1507706;-49,53231217;-1,7188505
1507755;-49,70358071;-6,942857113
1507805;-51,95305642;-2,594850418
1507904;-48,51601266;-0,7259255
1507953;-48,95128163;-2,9370795
1507961;-47,90780835;-1,034826664
1507979;-56,49090477;-2,108114474
1508001;-48,14689659;-2,419366855
1508035;-46,89947834;-1,068784059
1508050;-55,99617003;-4,69981915
1508084;-51,13953925;-6,749972007
1508100;-49,66718437;-3,766889084
1508126;-47,50314475;-3,75719301
1508159;-53,73703105;-3,7065285
1508209;-48,14149859;-0,855532574
1508308;-46,13876522;-1,203278527
1508357;-52,01126035;-2,88376571
1508407;-49,94270058;-7,101512827
1600055;-52,00353844;0,897841041
1600105;-50,79321447;2,053921245
1600154;-51,94659427;0,776882861
1600204;-50,94477273;2,496559045
1600212;-50,80162603;0,971078055
1600238;-51,18742905;0,853977393
1600253;-50,70017944;0,600653288
1600279;-52,53902074;-0,8556645
1600303;-51,05740546;0,03895101
1600402;-51,28607686;-0,124396329
1600501;-51,83055256;3,851130733
1600535;-51,41444882;0,712554702
1600550;-50,78425372;1,742508487
1600600;-51,17284647;-0,038373479
1600709;-50,91278615;1,50984824
1600808;-52,41961478;-0,918977089
1700251;-49,16243756;-9,621790712
1700301;-47,47045659;-6,547170821
1700350;-48,94124002;-11,30374305
1700400;-47,17417168;-11,57452347
1700707;-49,12681141;-12,47881532
1701002;-48,07976461;-6,362818154
1701051;-47,86207784;-6,38775275
1701101;-47,97667001;-9,955877715
1701309;-48,52343019;-7,164349271
1701903;-49,56181264;-8,801802544
1702000;-49,82861244;-12,92558371
1702109;-48,20870525;-7,19132894
1702158;-48,64374955;-6,58224942
1702208;-48,12350734;-5,650586473
1702307;-49,07563739;-7,652569735
1702406;-46,94610706;-12,93441986
1702554;-47,88095679;-5,465414296
1702703;-46,40708298;-12,70848986
1702901;-47,77415603;-5,624309066
1703008;-47,75881613;-7,201864532
1703057;-48,5783806;-7,764859141
1703073;-47,68713497;-7,691766599
1703107;-48,73146059;-9,831653365
1703206;-48,89905435;-7,868512483
1703305;-48,16638049;-8,963348013
1703602;-48,48537442;-8,384889351
1703701;-48,55866023;-11,01080506
1703800;-48,22325013;-5,313538856
1703826;-47,91419778;-6,113241647
1703842;-46,80197435;-7,971681394
1703867;-49,17104073;-11,88899746
1703883;-48,39595993;-7,031478778
1703891;-48,03063343;-5,322661355
1703909;-49,94869227;-9,267406219
1704105;-47,33839851;-8,958463639
1704600;-49,18310786;-10,14198858
1705102;-47,75390489;-11,62426783
1705508;-48,48159454;-8,054624675
1705557;-46,55207234;-12,81860767
1705607;-47,29286881;-12,21727777
1706001;-49,17657157;-8,35511837
1706100;-49,18630029;-10,59072464
1706258;-48,91551383;-11,10427429
1706506;-47,75216111;-6,712351001
1707009;-46,82040907;-11,62523188
1707108;-49,20541319;-9,79530114
1707207;-49,06733864;-9,26129671
1707306;-49,26587592;-11,34128542
1707405;-48,5441476;-5,366608059
1707553;-48,89898266;-10,75250873
1707652;-49,17384673;-12,13677998
1707702;-47,48496414;-7,337611906
1708205;-49,52686036;-11,80514197
1708254;-48,51742642;-9,058965301
1708304;-48,93689019;-8,770520805
