COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
5202502;387;1.138;294; -   ; -   ;64;51;1;4;1; -   ; -   ;1;4;13;54;22; -   ; -   ;6;35; -   ; 7 ; 583 ; -   ; -   ; 548 ; -   ; -   ; 28 ; -   ; 31 ; -   ; 2 ; -   ; -   ; 1 ; 2 ; -   ; -   ; 2 ; -   ; -   
5202601;61;324;41; -   ; -   ;25;6;1;2;1; -   ; -   ;1;2;4;25;6; -   ; -   ;6;18; -   ; -   ; 186 ; -   ; -   ; 138 ; -   ; -   ; 10 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   
5202809;87;368;88; -   ; -   ;57;55;1;2;1; -   ; -   ;2;2;7;27;16; -   ; -   ;16;30; -   ; -   ; 199 ; -   ; -   ; 104 ; 65 ; -   ; 12 ; -   ; 17 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   
5203104;40;465;95; -   ; -   ;14;8;2;4;2; -   ; -   ;1;3;2;37;13; -   ; -   ;6;15; -   ; 51 ; 199 ; -   ; -   ; 162 ; 53 ; -   ; 17 ; -   ; 20 ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; 2 ; 1 ; -   
5203203;551;1.354;368; -   ; -   ;256;128;10;9;2; -   ; -   ;4;11;79;92;28; -   ; -   ;28;101; -   ; -   ; 752 ; -   ; -   ; 208 ; 394 ; -   ; 52 ; -   ; 41 ; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; -   ; 2 ; 1 ; -   
5203302;1.105;4.134;967; -   ; -   ;280;124;14;17;5; -   ; -   ;3;16;60;176;65; -   ; -   ;26;138; -   ; 216 ; 1.517 ; 541 ; -   ; 1.552 ; -   ; 308 ; 67 ; 25 ; 73 ; 26 ; -   ; -   ; -   ; 3 ; 7 ; 4 ; -   ; 6 ; -   ; 3 
5203401;147;1.047;226; -   ; -   ;103;41;2;5;1; -   ; -   ;2;4;9;71;13; -   ; -   ;19;57; -   ; 78 ; 384 ; 83 ; -   ; 281 ; 179 ; 42 ; 31 ; 7 ; 32 ; 6 ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 2 ; 1 ; 1 
5203500;1.146;3.250;702; -   ; -   ;471;154;15;13;3; -   ; -   ;3;10;52;160;48; -   ; -   ;41;134; -   ; -   ; 1.620 ; 139 ; -   ; 815 ; 588 ; 88 ; 78 ; 16 ; 73 ; 21 ; -   ; -   ; -   ; -   ; 8 ; 3 ; -   ; 2 ; 3 ; 2 
5203559;309;1.151;334; -   ; -   ;116;65;3;5;1; -   ; -   ;3;6;14;49;20; -   ; -   ;17;52; -   ; -   ; 605 ; -   ; -   ; 546 ; -   ; -   ; 24 ; -   ; 26 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 2 ; -   ; -   
5203575;83;481;132; -   ; -   ;11;19;3;4;1; -   ; -   ;1;3;3;24;12; -   ; -   ;6;15; -   ; -   ; 270 ; -   ; -   ; 211 ; -   ; -   ; 12 ; -   ; 12 ; -   ; 2 ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; -   ; -   
